accident_id,time_id,road_condition_id,hood_id,latitude,longitude
910787,100000,100000,83,43.650445,-79.43979
1338700,104627,100000,120,43.711943,-79.270191
7000452997,188992,100000,31,43.722506,-79.469394
5000264661,130034,100000,130,43.814021000000004,-79.28829499999999
890220,100000,100004,73,43.655345000000004,-79.35519000000001
951700,100981,100004,82,43.630645,-79.42739
1026352,101955,100004,18,43.604445,-79.51949
1280050,103972,100004,73,43.657745,-79.37299
1083196,103896,100004,58,43.695322999999995,-79.35103199999999
1084902,103903,100004,20,43.611845,-79.54379
9000194955,257364,100004,92,43.677585,-79.44472900000001
890506,100010,100010,1,43.717145,-79.58259
892682,100022,100010,138,43.734945,-79.25619
897348,100036,100010,95,43.665145,-79.41129000000001
908179,100038,100010,27,43.783345000000004,-79.48669
897456,100046,100010,91,43.674445,-79.45869
895615,100060,100010,77,43.638745,-79.39129
900285,100077,100010,126,43.769845000000004,-79.28249
901809,100081,100010,24,43.758545,-79.51119
939781,100099,100010,83,43.659945,-79.43499
952260,100102,100010,124,43.715145,-79.26729
952529,100110,100010,14,43.632645000000004,-79.53159000000001
955463,100146,100010,93,43.671245,-79.44029
990835,100158,100010,1,43.669045000000004,-79.59139
956145,100158,100010,11,43.668345,-79.59099
962572,100200,100010,139,43.736545,-79.21949000000001
911964,100205,100010,51,43.780045,-79.41399
911972,100207,100010,95,43.668845000000005,-79.39369
909071,100207,100010,1,43.718845,-79.60229
913288,100231,100010,59,43.686645,-79.34779
915319,100233,100010,76,43.648545,-79.38089000000001
915777,100238,100010,119,43.758145,-79.31389
911915,100246,100010,18,43.602045000000004,-79.49909
916566,100256,100010,98,43.687645,-79.39389
917719,100277,100010,11,43.643045,-79.57379
918124,100279,100010,11,43.642845,-79.57469
915991,100298,100010,6,43.694445,-79.54549
920182,100303,100010,87,43.651245,-79.47549000000001
946102,100314,100010,41,43.735745,-79.40489000000001
950128,100314,100010,130,43.824145,-79.30509
964426,100337,100010,2,43.740745000000004,-79.58939000000001
920995,100349,100010,77,43.646245,-79.39149
923394,100350,100010,55,43.715945,-79.35349000000001
917572,100383,100010,61,43.690145,-79.29309
917225,100383,100010,98,43.677645,-79.38059
917426,100398,100010,1,43.735245,-79.59819
920927,100398,100010,77,43.646145000000004,-79.39179
961870,100400,100010,98,43.680445,-79.39099
962798,100400,100010,33,43.734845,-79.44599000000001
920998,100404,100010,4,43.721145,-79.57119
921181,100414,100010,139,43.731545000000004,-79.22519
918595,100416,100010,14,43.615445,-79.55059
923248,100422,100010,131,43.840445,-79.23489000000001
919141,100422,100010,73,43.655045,-79.36209000000001
922297,100422,100010,77,43.649145000000004,-79.39449
925504,100424,100010,95,43.672145,-79.41909
922743,100424,100010,95,43.667345000000005,-79.40069
919641,100426,100010,119,43.758345,-79.31299
947697,100428,100010,34,43.783845,-79.47009
932873,100428,100010,81,43.655345000000004,-79.41299000000001
923640,100453,100010,78,43.650145,-79.39119000000001
921084,100462,100010,27,43.753345,-79.48849
927891,100478,100010,110,43.687745,-79.48549
962132,100490,100010,126,43.751145,-79.28629000000001
942571,100491,100010,130,43.822245,-79.30649
903839,100513,100010,112,43.695245,-79.48649
902826,100519,100010,95,43.665445,-79.41139
912231,100558,100010,75,43.661345000000004,-79.38179000000001
909380,100576,100010,132,43.811245,-79.24289
907646,100582,100010,127,43.747045,-79.26339
886573,100614,100010,100,43.704345,-79.40959000000001
935843,100627,100010,41,43.745045000000005,-79.39829
935844,100627,100010,119,43.743845,-79.30179
886230,100638,100010,128,43.779345,-79.27559000000001
967741,100642,100010,119,43.756645,-79.31479
964318,100642,100010,48,43.792745000000004,-79.35429
884326,100652,100010,98,43.671145,-79.38719
942726,100659,100010,83,43.653545,-79.43299
943330,100682,100010,76,43.648845,-79.37939
940637,100682,100010,129,43.795845,-79.27219000000001
944350,100693,100010,105,43.722945,-79.41269
946237,100708,100010,26,43.717445,-79.52409
930469,100737,100010,108,43.695145000000004,-79.45279000000001
926327,100737,100010,119,43.758845,-79.31109000000001
887237,100756,100010,80,43.663545,-79.41839
891189,100772,100010,66,43.682345,-79.34609
888108,100772,100010,125,43.735945,-79.26949
893365,100795,100010,85,43.638245,-79.43109
927151,100819,100010,127,43.763445000000004,-79.25889000000001
930852,100819,100010,125,43.732145,-79.27859000000001
927542,100828,100010,116,43.813045,-79.31319
931108,100830,100010,27,43.781645000000005,-79.49399
927912,100832,100010,5,43.714445,-79.55499
932897,100846,100010,111,43.668145,-79.48699
928810,100848,100010,1,43.747445,-79.63419
929542,100854,100010,17,43.620245000000004,-79.48379
932486,100866,100010,22,43.746645,-79.56669000000001
968070,100883,100010,101,43.694345,-79.42289
965074,100900,100010,26,43.738045,-79.51899
968157,100933,100010,93,43.657745,-79.44579
968566,100941,100010,24,43.775245,-79.52239
951120,100969,100010,34,43.766845,-79.46649000000001
958067,100989,100010,50,43.782069,-79.416087
958123,100992,100010,83,43.654645,-79.43339
1046412,101000,100010,138,43.737945,-79.24239
1046411,101000,100010,110,43.691845,-79.46579
1047968,101004,100010,35,43.788445,-79.46399
976743,101010,100010,42,43.734045,-79.35589
981582,101010,100010,40,43.750745,-79.38469
1028580,101015,100010,127,43.752345,-79.26119
1025610,101015,100010,115,43.684545,-79.50809
1047657,101017,100010,8,43.694745000000005,-79.51949
1026958,101025,100010,26,43.749045,-79.48279000000001
1031555,101032,100010,111,43.683345,-79.48029
1032314,101049,100010,139,43.741445,-79.21819
1037550,101079,100010,132,43.796645,-79.22509000000001
1038453,101090,100010,36,43.781045,-79.44479
1035405,101090,100010,1,43.719145000000005,-79.60349000000001
1035404,101090,100010,43,43.726145,-79.31829
1038340,101101,100010,43,43.725945,-79.31939
985456,101163,100010,121,43.692045,-79.28449
987501,101168,100010,128,43.777545,-79.28569
993532,101195,100010,51,43.782545,-79.40279
992822,101195,100010,129,43.807745000000004,-79.26789000000001
989495,101204,100010,120,43.726545,-79.29319
994300,101211,100010,14,43.638345,-79.53769
990803,101228,100010,120,43.715945,-79.29899
990888,101228,100010,14,43.618545000000005,-79.53759000000001
990885,101228,100010,22,43.752145,-79.54149
995498,101228,100010,98,43.692245,-79.38409
981935,101246,100010,95,43.674945,-79.39569
1058466,101266,100010,94,43.680145,-79.43299
983041,101267,100010,31,43.715445,-79.44729
992577,101288,100010,95,43.673845,-79.41089000000001
1001270,101297,100010,2,43.741145,-79.58939000000001
994265,101305,100010,3,43.733945,-79.55789
992576,101305,100010,116,43.816745000000004,-79.33699
972774,101333,100010,47,43.780145000000005,-79.35009000000001
974540,101334,100010,1,43.734445,-79.61329
1042256,101339,100010,77,43.644845000000004,-79.39479
973970,101341,100010,90,43.668745,-79.48349
972321,101346,100010,105,43.732945,-79.40419
972006,101346,100010,2,43.759545,-79.59569
972843,101356,100010,71,43.674243,-79.367488
974080,101375,100010,40,43.760445000000004,-79.38659
980194,101377,100010,92,43.676945,-79.44779
980093,101377,100010,91,43.674745,-79.45739
980737,101379,100010,51,43.761845,-79.41099
981377,101399,100010,111,43.684445000000004,-79.50809
992854,101414,100010,42,43.720945,-79.33899
1045776,101428,100010,17,43.618545000000005,-79.48669
1058854,101431,100010,5,43.725345000000004,-79.55079
1058820,101431,100010,47,43.789345000000004,-79.36789
1055623,101431,100010,137,43.768645,-79.25019
993818,101439,100010,1,43.731545000000004,-79.60189
996853,101439,100010,129,43.808745,-79.26319000000001
1052865,101446,100010,77,43.649745,-79.38799
1050109,101454,100010,85,43.633944,-79.43719
1053515,101492,100010,100,43.704645,-79.40829000000001
1062414,101492,100010,31,43.711345,-79.46719
1057794,101495,100010,116,43.809945,-79.33879
1057990,101501,100010,10,43.676345,-79.55439
1003629,101525,100010,51,43.765045,-79.41179
1006355,101535,100010,119,43.743845,-79.30179
1004413,101541,100010,122,43.703445,-79.25319
1009774,101543,100010,111,43.667445,-79.49059
1005767,101549,100010,42,43.744045,-79.34529
1013702,101585,100010,62,43.686145,-79.31069000000001
1014715,101589,100010,3,43.734045,-79.56389
1025421,101607,100010,76,43.669543,-79.389987
979564,101645,100010,77,43.644745,-79.40299
979549,101647,100010,87,43.637145000000004,-79.47029
986760,101650,100010,59,43.688445,-79.34839000000001
984340,101655,100010,25,43.744145,-79.51439
986578,101673,100010,87,43.655445,-79.45639
993820,101698,100010,105,43.730245000000004,-79.40359000000001
1059152,101705,100010,1,43.684845,-79.59469
1059416,101705,100010,1,43.749045,-79.63839
1056407,101705,100010,120,43.721245,-79.30119
998487,101715,100010,77,43.645845,-79.39989
1042297,101738,100010,23,43.721045000000004,-79.537387
1047995,101753,100010,80,43.655145000000005,-79.41899000000001
1047021,101759,100010,83,43.655045,-79.43349
1043101,101759,100010,39,43.728745,-79.43199
1047294,101767,100010,16,43.630845,-79.48189
1057630,101773,100010,26,43.743045,-79.49419
1046409,101775,100010,70,43.653346,-79.341487
1045157,101780,100010,120,43.710645,-79.29679
1045221,101783,100010,82,43.636045,-79.40189000000001
1056886,101803,100010,97,43.690043,-79.402889
1000423,101818,100010,78,43.648345,-79.40449
997765,101836,100010,1,43.686145,-79.59529
1004974,101851,100010,132,43.795645,-79.22979000000001
1000339,101862,100010,27,43.777745,-79.51109
1058659,101881,100010,77,43.649145000000004,-79.35609000000001
1062586,101887,100010,6,43.697045,-79.54669
1063638,101891,100010,18,43.599145,-79.51739
1061106,101893,100010,71,43.664645,-79.377589
1063149,101921,100010,137,43.780944,-79.233592
1068411,101932,100010,51,43.774145000000004,-79.41409
1020812,101960,100010,7,43.678645,-79.55159
1023187,101976,100010,36,43.788245,-79.44669
1027349,101995,100010,95,43.671145,-79.39509
1175820,102021,100010,26,43.731145,-79.48319000000001
1098588,102032,100010,112,43.690245000000004,-79.48349
1176088,102033,100010,99,43.703245,-79.38819000000001
1179667,102043,100010,128,43.784645000000005,-79.28899
1180878,102068,100010,72,43.660145,-79.36299
1172906,102070,100010,111,43.682845,-79.47869
